SampleName,site,In,Out,middate,dxs,dD,unc,dO,unc,amount [mL],SOI in (monthly),SOI out (monthly),SOI middate (monthly),SOI average (monthly),PNA in (daily),PNA out (daily),PNA middate (daily),PNA average (daily),AO in (daily),AO out (daily),AO middate (daily),AO average (daily)
NX6896SW,CA42,37712.38194,37719.38194,37715.88194,10.71853733,-21.65710533,0.895111725,-4.046955333,0.334252898,227.9,-0.48,-0.48,-0.48,-0.48,-0.92,0.2,-0.707,-0.475666667,2.861,1.115,-0.189,1.262333333
NX7168SW,CA42,37719.38542,37726.375,37722.88021,15.58500067,-59.6244044,1.404587128,-9.401175633,0.341798186,3843.4,-0.48,-0.48,-0.48,-0.48,0.2,-0.222,0.677,0.218333333,1.115,0.693,-1.085,0.241
NX7932SW,CA42,37740.37847,37747.375,37743.87674,15.1724546,-31.11500833,0.565100876,-5.785932867,0.275764392,2440.8,-0.48,-0.85,-0.85,-0.726666667,0.187,-1.098,-0.806,-0.572333333,0.258,1.409,0.054,0.573666667
NX8169SW,CA42,37747.37847,37754.375,37750.87674,13.95665767,-23.02330047,1.226421216,-4.622494767,0.426010563,614.3,-0.85,-0.85,-0.85,-0.85,-1.098,-1.889,-0.969,-1.318666667,1.409,1.516,1.488,1.471
NX9759SW,CA42,37789.37847,37796.375,37792.87674,11.70915533,-12.85545187,0.819095843,-3.0705759,0.311834892,424.4,-1.75,-1.75,-1.75,-1.75,0.631,-0.528,-0.061,0.014,-0.393,0.25,0.688,0.181666667
NY4801SW,CA42,37922.37847,37929.375,37925.87674,26.4225176,-13.62520267,1.015796239,-5.005965033,0.38419266,1073.5,-0.26,-0.32,-0.26,-0.28,-1.144,-1.35,-2.141,-1.545,2.929,-0.047,-1.712,0.39
NY5320SW,CA42,37936.39931,37943.375,37939.88715,12.26128707,-72.49345453,1.040958212,-10.5943427,0.386623848,1006,-0.32,-0.32,-0.32,-0.32,-0.582,-0.851,0.368,-0.355,1.015,1.479,0.109,0.867666667
NY7142SW,CA42,37985.42014,37992.375,37988.89757,16.46408133,-24.0673192,0.925959502,-5.066425067,0.38824992,936.4,0.92,-1.31,-1.31,-0.566666667,-0.358,-0.475,-1.69,-0.841,0.006,-0.858,-0.186,-0.346
NY8221SW,CA42,38013.40625,38020.375,38016.89063,14.7166896,-65.14513173,1.364623758,-9.982727667,0.383910146,2176.9,-1.31,0.77,-1.31,-0.616666667,0.127,0.031,0.402,0.186666667, ,-0.577,-2.557,-1.567
NY9124SW,CA42,38034.44097,38041.38542,38037.91319,12.5717162,-62.27158833,1.134372955,-9.355413067,0.410280392,4240,0.77,0.77,0.77,0.77,1.277,0.334,1.12,0.910333333,-1.466,-2.818,-2.137,-2.140333333
NY9374SW,CA42,38041.38889,38048.36458,38044.87674,13.086536,-67.44602427,1.029257985,-10.06657003,0.413151304,7918.5,0.77,-0.11,0.77,0.476666667,0.334,-0.341,-0.085,-0.030666667,-2.818,-0.908,-3.13,-2.285333333
NZ0648SW,CA42,38076.69792,38084.45833,38080.57813,11.57856793,-25.45216327,0.972363615,-4.6288414,0.396053027,443.7,-0.11,-1.91,-1.91,-1.31,1.517,1.338,1.78,1.545,-0.831,-1.814,1.154,-0.497
NZ1248SW,CA42,38090.50347,38097.375,38093.93924,17.51146167,-56.72256607,0.920919649,-9.279253467,0.379077828,818.1,-1.91,-1.91,-1.91,-1.91,0.21,-0.693,-0.189,-0.224,0.429,-1.255,0.657,-0.056333333
NZ8124SW,CA42,38274.30556,38279.73958,38277.02257,15.96683847,-27.0951986,0.908556547,-5.382754633,0.395778979,3863.1,-0.42,-0.42,-0.42,-0.42,-1.138,-1.576,-1.799,-1.504333333,-0.492,-2.04,-2.042,-1.524666667
NZ8675SW,CA42,38286.43403,38293.39583,38289.91493,20.65155773,-58.7292556,1.007651229,-9.922601667,0.343611699,5129.4,-0.42,-1.06,-0.42,-0.633333333,-0.789,0.29,-0.117,-0.205333333,-1.123,1.097,0.527,0.167
NZ9424SW,CA42,38307.60764,38314.39583,38311.00174,17.47903847,-53.104673,0.836545874,-8.822963933,0.327443125,2213.2,-1.06,-1.06,-1.06,-1.06,0.423,0.275,0.585,0.427666667,1.66,-0.625,-0.58,0.151666667
NZ9635SW,CA42,38314.39931,38321.53125,38317.96528,14.426731,-29.10028047,0.926525769,-5.440876433,0.86681832,672.9,-1.06,-1.06,-1.06,-1.06,0.275,-0.38,0.097,-0.002666667,-0.625,0.451,-0.617,-0.263666667
NZ9985SW,CA42,38321.53472,38328.47917,38325.00694,18.5700116,-46.463402,1.085645891,-8.1291767,0.38118893,437.4,-1.06,-0.94,-0.94,-0.98,-0.38,0.11,-0.161,-0.143666667,0.451,0.722,1.159,0.777333333
TA0158SW,CA42,38328.48264,38335.39583,38331.93924,19.5169802,-13.0564102,1.111026102,-4.0716738,0.40292307,168.6,-0.94,-0.94,-0.94,-0.94,0.11,1.282,1.176,0.856,0.722,0.309,-0.366,0.221666667
TA0718SW,CA42,38342.45139,38349.46528,38345.95833,18.0472068,-53.3274956,1.250691809,-8.9218378,0.303580302,2733.7,-0.94,-0.94,-0.94,-0.94,-0.181,-1.055,-0.497,-0.577666667,0.84,2.69,1.452,1.660666667
TA0992SW,CA42,38349.59375,38356.59375,38353.09375,24.32205353,-53.3110974,1.201291388,-9.704143867,0.382750572,5969,-0.94,0.2,0.2,-0.18,-1.055,-0.76,-0.852,-0.889,2.69,4.45,3.09,3.41
TA1269SW,CA42,38356.59722,38363.52083,38360.05903,12.86090867,-54.51073827,1.029172969,-8.421455867,0.278154633,-9.9,0.2,0.2,0.2,0.2,-0.76,-0.615,-1.531,-0.968666667,4.45,1.723,3.482,3.218333333
TA2274SW,CA42,38377.48611,38384.51042,38380.99826,15.4364896,-32.10693867,1.07801948,-5.942928533,0.357186226,2102.3,0.2,-2.99,0.2,-0.863333333,1.098,0.16,0.46,0.572666667,-3.819,-1.209,-2.185,-2.404333333
TA2503SW,CA42,38384.51389,38391.80556,38388.15972,17.34416847,-9.681596333,1.021535119,-3.3782206,0.214350181,321.3,-2.99,-2.99,-2.99,-2.99,0.16,-0.01,0.046,0.065333333,-1.209,1.047,-0.855,-0.339
TA3059SW,CA42,38398.60764,38405.58333,38402.09549,13.03427768,-71.7040213,0.921099343,-10.59228737,0.323349656,-9.9,-2.99,-2.99,-2.99,-2.99,0.665,0.199,0.296,0.386666667,-1.463,-2.517,-1.126,-1.702
TA3325SW,CA42,38405.58681,38412.85764,38409.22222,16.70615627,-73.3583792,0.872212703,-11.25806693,0.235790161,2643.9,-2.99,-0.26,-2.99,-2.08,0.199,0.863,0.512,0.524666667,-2.517,-2.726,-4.337,-3.193333333
TA3572SW,CA42,38412.86111,38419.46875,38416.16493,11.78826787,-38.46751107,1.166119634,-6.281972367,0.188618663,596.1,-0.26,-0.26,-0.26,-0.26,0.863,0.975,1.035,0.957666667,-2.726,-2.84,-1.26,-2.275333333
TA4136SW,CA42,38426.50347,38433.47917,38429.99132,11.72622407,-56.28142233,1.034857478,-8.5009558,0.209260603,1023.9,-0.26,-0.26,-0.26,-0.26,-0.45,0.537,0.161,0.082666667,-1.433,-0.727,-2.256,-1.472
TA4313SW,CA42,38433.48264,38440.50694,38436.99479,16.83156027,-31.73267387,1.175046382,-6.070529267,0.327470609,2183.7,-0.26,-0.26,-0.26,-0.26,0.537,0.563,-0.165,0.311666667,-0.727,-0.32,-0.409,-0.485333333
TA5659SW,CA42,38468.73264,38475.47917,38472.1059,17.96146967,-43.03682127,0.738769924,-7.624786367,0.283277249,1710.1,-1.22,-1.46,-1.22,-1.3,1.777,0.016,0.281,0.691333333,-1.836,-0.094,-1.714,-1.214666667
TA5894SW,CA42,38475.48264,38482.48958,38478.98611,14.64489133,-58.46945667,0.999750969,-9.1392935,0.267284493,2271.1,-1.46,-1.46,-1.46,-1.46,0.016,1.288,0.779,0.694333333,-0.094,-1.603,-0.281,-0.659333333
TB1047SW,CA42,38608.53472,38616.5,38612.51736,8.1232976,-24.94446213,1.019365979,-4.133469967,0.326975534,1080.2,0.34,0.34,0.34,0.34,1.88,1.535,1.777,1.730666667,0.809,0.444,1.634,0.962333333
TB2177SW,CA42,38637.61806,38644.57986,38641.09896,18.37210313,-42.65291047,4.48235,-7.6281267,3.083348,4174.6,1.12,1.12,1.12,1.12,1.239,-0.04,-0.774,0.141666667,-0.167,-1.918,-1.593,-1.226
TB4006SW,CA42,38692.58681,38699.52083,38696.05382,-5.4797014,-114.9181702,1.38482526,-13.6798086,0.337265474,188.2001,0.01,0.01,0.01,0.01,0.499,0.584,0.728,0.603666667,-3.454,-1.643,0.16,-1.645666667
TB4923SW,CA42,38713,38720,38716.5,17.49877453,-28.97841933,0.96897936,-5.809649233,0.316015822,6563.7,0.01,1.29,0.01,0.436666667,1.274,0.039,1.013,0.775333333,-2.899,-0.824,-2.182,-1.968333333
TB6915SW,CA42,38762,38770,38766,28.1893386,-42.7043558,4.48235,-8.8617118,3.083348,1317.2,-0.12,-0.12,-0.12,-0.12,0.647,-1.442,-0.771,-0.522,0.884,1.684,0.965,1.177666667
TB7125SW,CA42,38770,38776,38773,11.66089527,-86.25475967,0.940693893,-12.23945687,0.241325506,8111.9,-0.12,-0.12,-0.12,-0.12,-1.442,-1.721,-1.891,-1.684666667,1.684,-2.029,-0.685,-0.343333333
TB7199SW,CA42,38776,38782,38779,25.46587747,-27.45949587,1.156662008,-6.615671667,0.275021817,1205.5,-0.12,1.32,1.32,0.84,-1.721,0.05,-0.693,-0.788,-2.029,0.059,-1.667,-1.212333333
TB7835SW,CA42,38782,38790,38786,24.80723313,-39.34433247,1.088723105,-8.0189457,0.166838245,2385.9,1.32,1.32,1.32,1.32,0.05,-0.677,-0.857,-0.494666667,0.059,-2.013,0.111,-0.614333333
TB7833SW,CA42,38790,38797,38793.5,20.06361227,-47.33475733,1.244656579,-8.4247962,0.271110679,4933.2,1.32,1.32,1.32,1.32,-0.677,-0.107,-0.37,-0.384666667,-2.013,-3.822,-2.825,-2.886666667
