Year,Month,Day,Daily AO Value
1950,1,1,-2.511
1950,1,2,-1.505
1950,1,3,-1.173
1950,1,4,-1.251
1950,1,5,-0.126
1950,1,6,-0.036
1950,1,7,-0.782
1950,1,8,-1.375
1950,1,9,-1.110
1950,1,10,-0.595
1950,1,11,0.116
1950,1,12,0.147
1950,1,13,0.455
1950,1,14,0.453
1950,1,15,-0.176
1950,1,16,-0.747
1950,1,17,-0.628
1950,1,18,-0.508
1950,1,19,-0.582
1950,1,20,-0.062
1950,1,21,0.515
1950,1,22,1.395
1950,1,23,1.739
1950,1,24,1.629
1950,1,25,0.912
1950,1,26,0.266
1950,1,27,0.424
1950,1,28,0.680
1950,1,29,0.798
1950,1,30,0.731
1950,1,31,1.103
1950,2,1,1.233
1950,2,2,0.898
1950,2,3,0.733
1950,2,4,1.146
1950,2,5,1.428
1950,2,6,1.300
1950,2,7,1.257
1950,2,8,0.876
1950,2,9,0.361
1950,2,10,-0.030
1950,2,11,-0.093
1950,2,12,-0.110
1950,2,13,-0.185
1950,2,14,0.417
1950,2,15,0.778
1950,2,16,0.865
1950,2,17,0.900
1950,2,18,1.048
1950,2,19,1.041
1950,2,20,0.943
1950,2,21,0.353
1950,2,22,0.292
1950,2,23,0.491
1950,2,24,0.842
1950,2,25,0.403
1950,2,26,0.214
1950,2,27,0.046
1950,2,28,-0.523
1950,3,1,-0.609
1950,3,2,-0.420
1950,3,3,0.848
1950,3,4,2.343
1950,3,5,2.079
1950,3,6,0.560
1950,3,7,-0.412
1950,3,8,-1.212
1950,3,9,-1.508
1950,3,10,-1.108
1950,3,11,-1.372
1950,3,12,-2.103
1950,3,13,-2.513
1950,3,14,-2.676
1950,3,15,-2.854
1950,3,16,-2.010
1950,3,17,-0.462
1950,3,18,0.634
1950,3,19,1.264
1950,3,20,1.748
1950,3,21,1.773
1950,3,22,1.204
1950,3,23,1.105
1950,3,24,0.587
1950,3,25,-0.016
1950,3,26,0.083
1950,3,27,0.211
1950,3,28,0.247
1950,3,29,0.430
1950,3,30,1.377
1950,3,31,2.537
1950,4,1,3.280
1950,4,2,2.415
1950,4,3,1.500
1950,4,4,1.416
