SampleName,site,In,Out,middate,SOI in (monthly),SOI out (monthly),SOI middate (monthly),SOI average (monthly),PNA in (daily),PNA out (daily),PNA middate (daily),PNA average (daily),AO in (daily),AO out (daily),AO middate (daily),AO average (daily)
NX6896SW,CA42,4/1/2003,4/8/2003,4/4/2003,-0.48,-0.48,-0.48,-0.48,-0.92,0.2,-0.707,-0.475666667,2.861,1.115,-0.189,1.262333333
NX7168SW,CA42,4/8/2003,4/15/2003,4/11/2003,-0.48,-0.48,-0.48,-0.48,0.2,-0.222,0.677,0.218333333,1.115,0.693,-1.085,0.241
NX7932SW,CA42,4/29/2003,5/6/2003,5/2/2003,-0.48,-0.85,-0.85,-0.726666667,0.187,-1.098,-0.806,-0.572333333,0.258,1.409,0.054,0.573666667
NX8169SW,CA42,5/6/2003,5/13/2003,5/9/2003,-0.85,-0.85,-0.85,-0.85,-1.098,-1.889,-0.969,-1.318666667,1.409,1.516,1.488,1.471
NX9759SW,CA42,6/17/2003,6/24/2003,6/20/2003,-1.75,-1.75,-1.75,-1.75,0.631,-0.528,-0.061,0.014,-0.393,0.25,0.688,0.181666667
NY4801SW,CA42,10/28/2003,11/4/2003,10/31/2003,-0.26,-0.32,-0.26,-0.28,-1.144,-1.35,-2.141,-1.545,2.929,-0.047,-1.712,0.39
NY5320SW,CA42,11/11/2003,11/18/2003,11/14/2003,-0.32,-0.32,-0.32,-0.32,-0.582,-0.851,0.368,-0.355,1.015,1.479,0.109,0.867666667
NY7142SW,CA42,12/30/2003,1/6/2004,1/2/2004,0.92,-1.31,-1.31,-0.566666667,-0.358,-0.475,-1.69,-0.841,0.006,-0.858,-0.186,-0.346
NY8221SW,CA42,1/27/2004,2/3/2004,1/30/2004,-1.31,0.77,-1.31,-0.616666667,0.127,0.031,0.402,0.186666667,-3.012,-0.577,-2.557,-2.048666667
NY9124SW,CA42,2/17/2004,2/24/2004,2/20/2004,0.77,0.77,0.77,0.77,1.277,0.334,1.12,0.910333333,-1.466,-2.818,-2.137,-2.140333333
NY9374SW,CA42,2/24/2004,3/2/2004,2/27/2004,0.77,-0.11,0.77,0.476666667,0.334,-0.341,-0.085,-0.030666667,-2.818,-0.908,-3.13,-2.285333333
NZ0648SW,CA42,3/30/2004,4/7/2004,4/3/2004,-0.11,-1.91,-1.91,-1.31,1.517,1.338,1.78,1.545,-0.831,-1.814,1.154,-0.497
NZ1248SW,CA42,4/13/2004,4/20/2004,4/16/2004,-1.91,-1.91,-1.91,-1.91,0.21,-0.693,-0.189,-0.224,0.429,-1.255,0.657,-0.056333333
NZ8124SW,CA42,10/14/2004,10/19/2004,10/17/2004,-0.42,-0.42,-0.42,-0.42,-1.138,-1.576,-1.799,-1.504333333,-0.492,-2.04,-2.042,-1.524666667
NZ8675SW,CA42,10/26/2004,11/2/2004,10/29/2004,-0.42,-1.06,-0.42,-0.633333333,-0.789,0.29,-0.117,-0.205333333,-1.123,1.097,0.527,0.167
NZ9424SW,CA42,11/16/2004,11/23/2004,11/20/2004,-1.06,-1.06,-1.06,-1.06,0.423,0.275,0.585,0.427666667,1.66,-0.625,-0.58,0.151666667
NZ9635SW,CA42,11/23/2004,11/30/2004,11/26/2004,-1.06,-1.06,-1.06,-1.06,0.275,-0.38,0.097,-0.002666667,-0.625,0.451,-0.617,-0.263666667
NZ9985SW,CA42,11/30/2004,12/7/2004,12/4/2004,-1.06,-0.94,-0.94,-0.98,-0.38,0.11,-0.161,-0.143666667,0.451,0.722,1.159,0.777333333
TA0158SW,CA42,12/7/2004,12/14/2004,12/10/2004,-0.94,-0.94,-0.94,-0.94,0.11,1.282,1.176,0.856,0.722,0.309,-0.366,0.221666667
TA0718SW,CA42,12/21/2004,12/28/2004,12/24/2004,-0.94,-0.94,-0.94,-0.94,-0.181,-1.055,-0.497,-0.577666667,0.84,2.69,1.452,1.660666667
TA0992SW,CA42,12/28/2004,1/4/2005,1/1/2005,-0.94,0.2,0.2,-0.18,-1.055,-0.76,-0.852,-0.889,2.69,4.45,3.09,3.41
TA1269SW,CA42,1/4/2005,1/11/2005,1/8/2005,0.2,0.2,0.2,0.2,-0.76,-0.615,-1.531,-0.968666667,4.45,1.723,3.482,3.218333333
TA2274SW,CA42,1/25/2005,2/1/2005,1/28/2005,0.2,-2.99,0.2,-0.863333333,1.098,0.16,0.46,0.572666667,-3.819,-1.209,-2.185,-2.404333333
TA2503SW,CA42,2/1/2005,2/8/2005,2/5/2005,-2.99,-2.99,-2.99,-2.99,0.16,-0.01,0.046,0.065333333,-1.209,1.047,-0.855,-0.339
TA3059SW,CA42,2/15/2005,2/22/2005,2/19/2005,-2.99,-2.99,-2.99,-2.99,0.665,0.199,0.296,0.386666667,-1.463,-2.517,-1.126,-1.702
