Year,Month,Day,Daily PNA Value
1950,1,1,-1.332
1950,1,2,-1.405
1950,1,3,-1.559
1950,1,4,-1.605
1950,1,5,-1.674
1950,1,6,-1.729
1950,1,7,-1.408
1950,1,8,-1.080
1950,1,9,-1.215
1950,1,10,-1.172
1950,1,11,-1.043
1950,1,12,-0.918
1950,1,13,-1.021
1950,1,14,-1.056
1950,1,15,-1.100
1950,1,16,-1.209
1950,1,17,-0.952
1950,1,18,-0.829
1950,1,19,-0.771
1950,1,20,-0.822
1950,1,21,-0.873
1950,1,22,-1.189
1950,1,23,-1.538
1950,1,24,-1.842
1950,1,25,-1.945
1950,1,26,-1.636
1950,1,27,-1.437
1950,1,28,-1.582
1950,1,29,-1.832
1950,1,30,-1.890
1950,1,31,-1.685
1950,2,1,-1.455
1950,2,2,-1.351
1950,2,3,-1.408
1950,2,4,-1.334
1950,2,5,-1.032
1950,2,6,-0.874
1950,2,7,-0.725
1950,2,8,-0.645
1950,2,9,-0.687
1950,2,10,-0.845
1950,2,11,-0.808
1950,2,12,-0.721
1950,2,13,-0.617
1950,2,14,-0.595
1950,2,15,-0.466
1950,2,16,-0.274
1950,2,17,-0.100
1950,2,18,0.039
1950,2,19,0.101
1950,2,20,0.182
1950,2,21,0.483
1950,2,22,0.745
1950,2,23,0.620
1950,2,24,0.393
1950,2,25,0.378
1950,2,26,0.501
1950,2,27,0.471
1950,2,28,0.349
1950,3,1,0.479
1950,3,2,0.718
1950,3,3,0.843
1950,3,4,0.690
1950,3,5,0.327
1950,3,6,0.262
1950,3,7,0.150
1950,3,8,-0.051
1950,3,9,-0.280
1950,3,10,-0.271
1950,3,11,-0.501
1950,3,12,-0.736
1950,3,13,-0.655
1950,3,14,-0.423
1950,3,15,0.105
1950,3,16,0.776
1950,3,17,1.140
1950,3,18,1.132
1950,3,19,1.113
1950,3,20,0.759
1950,3,21,0.626
1950,3,22,0.665
1950,3,23,0.642
1950,3,24,0.438
1950,3,25,0.293
1950,3,26,0.292
1950,3,27,0.119
1950,3,28,-0.194
1950,3,29,-0.439
1950,3,30,-0.401
1950,3,31,-0.389
1950,4,1,-0.330
1950,4,2,-0.540
1950,4,3,-0.737
1950,4,4,-0.829
1950,4,5,-0.605
1950,4,6,-0.249
1950,4,7,0.171
1950,4,8,0.544
1950,4,9,0.576
1950,4,10,0.501
1950,4,11,0.426
1950,4,12,0.418
1950,4,13,0.406
1950,4,14,0.309
1950,4,15,0.302
1950,4,16,0.070
1950,4,17,-0.102
1950,4,18,0.058
1950,4,19,0.136
1950,4,20,0.149
1950,4,21,-0.105
1950,4,22,-0.319
