,SampleName,site,In,Out,middate,SOI in (monthly),SOI out (monthly),SOI middate (monthly),SOI average (monthly),PNA in (daily),PNA out (daily),PNA middate (daily),PNA average (daily),AO in (daily),AO out (daily),AO middate (daily),AO average (daily),dxs,dD,unc,dO,unc.1,amount [mL]
0,NX6896SW,CA42,4/1/03,4/8/03,4/4/03,-0.48,-0.48,-0.48,-0.48,-0.92,0.2,-0.7070000000000001,-0.475666667,2.861,1.115,-0.189,1.262333333,10.71853733,-21.65710533,0.895111725,-4.0469553330000005,0.334252898,227.9
1,NX7168SW,CA42,4/8/03,4/15/03,4/11/03,-0.48,-0.48,-0.48,-0.48,0.2,-0.222,0.677,0.218333333,1.115,0.693,-1.085,0.241,15.58500067,-59.6244044,1.4045871280000002,-9.401175633,0.341798186,3843.4
2,NX7932SW,CA42,4/29/03,5/6/03,5/2/03,-0.48,-0.85,-0.85,-0.726666667,0.187,-1.098,-0.8059999999999999,-0.572333333,0.258,1.409,0.054000000000000006,0.573666667,15.1724546,-31.11500833,0.565100876,-5.7859328670000005,0.275764392,2440.8
3,NX8169SW,CA42,5/6/03,5/13/03,5/9/03,-0.85,-0.85,-0.85,-0.85,-1.098,-1.889,-0.969,-1.318666667,1.409,1.516,1.4880000000000002,1.471,13.95665767,-23.02330047,1.226421216,-4.622494767,0.426010563,614.3
4,NX9759SW,CA42,6/17/03,6/24/03,6/20/03,-1.75,-1.75,-1.75,-1.75,0.631,-0.528,-0.061,0.014,-0.393,0.25,0.688,0.181666667,11.70915533,-12.85545187,0.8190958429999999,-3.0705759,0.311834892,424.4
5,NY4801SW,CA42,10/28/03,11/4/03,10/31/03,-0.26,-0.32,-0.26,-0.28,-1.144,-1.35,-2.141,-1.545,2.929,-0.047,-1.712,0.39,26.422517600000006,-13.62520267,1.0157962390000002,-5.005965033,0.38419266,1073.5
6,NY5320SW,CA42,11/11/03,11/18/03,11/14/03,-0.32,-0.32,-0.32,-0.32,-0.5820000000000001,-0.851,0.368,-0.355,1.015,1.479,0.109,0.8676666670000001,12.26128707,-72.49345453,1.040958212,-10.5943427,0.386623848,1006.0
7,NY7142SW,CA42,12/30/03,1/6/04,1/2/04,0.92,-1.31,-1.31,-0.566666667,-0.358,-0.475,-1.69,-0.841,0.006,-0.858,-0.18600000000000005,-0.34600000000000003,16.46408133,-24.0673192,0.925959502,-5.066425067,0.38824992,936.4
8,NY8221SW,CA42,1/27/04,2/3/04,1/30/04,-1.31,0.77,-1.31,-0.6166666670000001,0.127,0.031,0.402,0.186666667,-3.012,-0.5770000000000001,-2.557,-2.048666667,14.7166896,-65.14513173,1.364623758,-9.982727667,0.383910146,2176.9
9,NY9124SW,CA42,2/17/04,2/24/04,2/20/04,0.77,0.77,0.77,0.77,1.277,0.334,1.12,0.910333333,-1.466,-2.818,-2.137,-2.140333333,12.5717162,-62.27158833,1.134372955,-9.355413067,0.4102803920000001,4240.0
