,SampleName,site,In,Out,middate,SOI in (monthly),SOI out (monthly),SOI middate (monthly),SOI average (monthly),PNA in (daily),PNA out (daily),PNA middate (daily),PNA average (daily),AO in (daily),AO out (daily),AO middate (daily),AO average (daily),dxs,dD,unc,dO,unc.1,amount [mL]
0,NX6896SW,CA42,4/1/03,4/8/03,4/4/03,-0.48,-0.48,-0.48,-0.48,-0.92,0.2,-0.7070000000000001,-0.47566666700000004,2.861,1.115,-0.18899999999999997,1.262333333,10.71853733,-21.65710533,0.895111725,-4.0469553330000005,0.334252898,227.9
1,NX7168SW,CA42,4/8/03,4/15/03,4/11/03,-0.48,-0.48,-0.48,-0.48,0.2,-0.222,0.677,0.21833333300000002,1.115,0.693,-1.085,0.24100000000000002,15.58500067,-59.624404399999996,1.4045871280000002,-9.401175633,0.341798186,3843.4
2,NX7932SW,CA42,4/29/03,5/6/03,5/2/03,-0.48,-0.85,-0.85,-0.726666667,0.187,-1.0979999999999999,-0.8059999999999999,-0.572333333,0.258,1.409,0.054000000000000006,0.573666667,15.1724546,-31.11500833,0.565100876,-5.7859328670000005,0.27576439199999997,2440.8
3,NX8169SW,CA42,5/6/03,5/13/03,5/9/03,-0.85,-0.85,-0.85,-0.85,-1.0979999999999999,-1.889,-0.9690000000000001,-1.318666667,1.409,1.516,1.4880000000000002,1.4709999999999999,13.95665767,-23.02330047,1.2264212159999999,-4.622494767,0.42601056299999995,614.3
4,NX9759SW,CA42,6/17/03,6/24/03,6/20/03,-1.75,-1.75,-1.75,-1.75,0.631,-0.528,-0.061,0.013999999999999999,-0.39299999999999996,0.25,0.688,0.181666667,11.70915533,-12.85545187,0.8190958429999999,-3.0705758999999997,0.311834892,424.4
5,NY4801SW,CA42,10/28/03,11/4/03,10/31/03,-0.26,-0.32,-0.26,-0.28,-1.1440000000000001,-1.35,-2.141,-1.545,2.929,-0.047,-1.712,0.39,26.422517600000003,-13.62520267,1.0157962390000002,-5.005965033,0.38419266,1073.5
6,NY5320SW,CA42,11/11/03,11/18/03,11/14/03,-0.32,-0.32,-0.32,-0.32,-0.5820000000000001,-0.851,0.368,-0.355,1.015,1.479,0.109,0.8676666670000001,12.26128707,-72.49345453,1.040958212,-10.5943427,0.386623848,1006.0
7,NY7142SW,CA42,12/30/03,1/6/04,1/2/04,0.92,-1.31,-1.31,-0.566666667,-0.358,-0.475,-1.69,-0.841,0.006,-0.858,-0.18600000000000003,-0.34600000000000003,16.46408133,-24.067319199999996,0.925959502,-5.066425067,0.38824992,936.4
8,NY8221SW,CA42,1/27/04,2/3/04,1/30/04,-1.31,0.77,-1.31,-0.6166666670000001,0.127,0.031,0.402,0.18666666699999998,-3.012,-0.5770000000000001,-2.557,-2.048666667,14.7166896,-65.14513173,1.364623758,-9.982727667,0.383910146,2176.9
9,NY9124SW,CA42,2/17/04,2/24/04,2/20/04,0.77,0.77,0.77,0.77,1.2770000000000001,0.33399999999999996,1.12,0.910333333,-1.466,-2.818,-2.137,-2.140333333,12.5717162,-62.27158833,1.134372955,-9.355413067,0.41028039200000005,4240.0
10,NY9374SW,CA42,2/24/04,3/2/04,2/27/04,0.77,-0.11,0.77,0.47666666700000004,0.33399999999999996,-0.341,-0.085,-0.030666667,-2.818,-0.9079999999999999,-3.13,-2.285333333,13.086536,-67.44602427,1.029257985,-10.06657003,0.413151304,7918.5
11,NZ0648SW,CA42,3/30/04,4/7/04,4/3/04,-0.11,-1.91,-1.91,-1.31,1.517,1.338,1.78,1.545,-0.831,-1.814,1.1540000000000001,-0.49700000000000005,11.57856793,-25.45216327,0.972363615,-4.628841400000001,0.39605302700000006,443.7
12,NZ1248SW,CA42,4/13/04,4/20/04,4/16/04,-1.91,-1.91,-1.91,-1.91,0.21,-0.693,-0.18899999999999997,-0.22399999999999998,0.429,-1.255,0.657,-0.056333333,17.51146167,-56.72256607,0.920919649,-9.279253467,0.37907782799999995,818.1
13,NZ8124SW,CA42,10/14/04,10/19/04,10/17/04,-0.42,-0.42,-0.42,-0.42,-1.138,-1.5759999999999998,-1.7990000000000002,-1.5043333330000002,-0.49200000000000005,-2.04,-2.042,-1.524666667,15.96683847,-27.095198600000003,0.908556547,-5.382754632999999,0.395778979,3863.1
14,NZ8675SW,CA42,10/26/04,11/2/04,10/29/04,-0.42,-1.06,-0.42,-0.6333333329999999,-0.789,0.29,-0.11699999999999999,-0.205333333,-1.123,1.097,0.527,0.16699999999999998,20.65155773,-58.729255599999995,1.0076512290000001,-9.922601667,0.343611699,5129.4
15,NZ9424SW,CA42,11/16/04,11/23/04,11/20/04,-1.06,-1.06,-1.06,-1.06,0.423,0.275,0.585,0.42766666700000006,1.66,-0.625,-0.58,0.151666667,17.47903847,-53.104673,0.836545874,-8.822963932999999,0.327443125,2213.2
16,NZ9635SW,CA42,11/23/04,11/30/04,11/26/04,-1.06,-1.06,-1.06,-1.06,0.275,-0.38,0.09699999999999999,-0.002666667,-0.625,0.451,-0.617,-0.26366666699999997,14.426731,-29.10028047,0.926525769,-5.440876433,0.86681832,672.9
17,NZ9985SW,CA42,11/30/04,12/7/04,12/4/04,-1.06,-0.94,-0.94,-0.98,-0.38,0.11,-0.161,-0.143666667,0.451,0.722,1.159,0.777333333,18.5700116,-46.463402,1.085645891,-8.1291767,0.38118893,437.4
18,TA0158SW,CA42,12/7/04,12/14/04,12/10/04,-0.94,-0.94,-0.94,-0.94,0.11,1.2819999999999998,1.176,0.856,0.722,0.309,-0.366,0.22166666699999998,19.5169802,-13.0564102,1.111026102,-4.0716738,0.40292307,168.6
19,TA0718SW,CA42,12/21/04,12/28/04,12/24/04,-0.94,-0.94,-0.94,-0.94,-0.18100000000000002,-1.055,-0.49700000000000005,-0.577666667,0.84,2.69,1.452,1.6606666669999999,18.0472068,-53.3274956,1.250691809,-8.9218378,0.30358030199999997,2733.7
20,TA0992SW,CA42,12/28/04,1/4/05,1/1/05,-0.94,0.2,0.2,-0.18,-1.055,-0.76,-0.852,-0.889,2.69,4.45,3.09,3.41,24.32205353,-53.311097399999994,1.201291388,-9.704143867,0.382750572,5969.0
21,TA1269SW,CA42,1/4/05,1/11/05,1/8/05,0.2,0.2,0.2,0.2,-0.76,-0.615,-1.531,-0.968666667,4.45,1.723,3.4819999999999998,3.218333333,12.86090867,-54.51073827,1.029172969,-8.421455867,0.278154633,-9.9
22,TA2274SW,CA42,1/25/05,2/1/05,1/28/05,0.2,-2.99,0.2,-0.8633333329999999,1.0979999999999999,0.16,0.46,0.572666667,-3.819,-1.209,-2.185,-2.4043333330000003,15.436489600000002,-32.10693867,1.07801948,-5.942928533,0.357186226,2102.3
23,TA2503SW,CA42,2/1/05,2/8/05,2/5/05,-2.99,-2.99,-2.99,-2.99,0.16,-0.01,0.046,0.065333333,-1.209,1.047,-0.855,-0.33899999999999997,17.34416847,-9.681596333,1.0215351190000002,-3.3782205999999997,0.21435018100000003,321.3
24,TA3059SW,CA42,2/15/05,2/22/05,2/19/05,-2.99,-2.99,-2.99,-2.99,0.665,0.19899999999999998,0.29600000000000004,0.386666667,-1.463,-2.517,-1.126,-1.702,13.03427768,-71.7040213,0.921099343,-10.59228737,0.32334965600000004,-9.9
25,TA3325SW,CA42,2/22/05,3/1/05,2/26/05,-2.99,-0.26,-2.99,-2.08,0.19899999999999998,0.863,0.512,0.524666667,-2.517,-2.7260000000000004,-4.337,-3.193333333,16.70615627,-73.3583792,0.872212703,-11.25806693,0.23579016100000003,2643.9
26,TA3572SW,CA42,3/1/05,3/8/05,3/5/05,-0.26,-0.26,-0.26,-0.26,0.863,0.975,1.035,0.957666667,-2.7260000000000004,-2.84,-1.26,-2.2753333330000003,11.78826787,-38.46751107,1.166119634,-6.281972367000001,0.18861866300000002,596.1
27,TA4136SW,CA42,3/15/05,3/22/05,3/18/05,-0.26,-0.26,-0.26,-0.26,-0.45,0.537,0.161,0.082666667,-1.433,-0.727,-2.256,-1.472,11.72622407,-56.28142233,1.034857478,-8.5009558,0.20926060300000002,1023.9
28,TA4313SW,CA42,3/22/05,3/29/05,3/25/05,-0.26,-0.26,-0.26,-0.26,0.537,0.563,-0.165,0.311666667,-0.727,-0.32,-0.409,-0.485333333,16.83156027,-31.73267387,1.1750463820000001,-6.070529267,0.32747060899999997,2183.7
29,TA5659SW,CA42,4/26/05,5/3/05,4/30/05,-1.22,-1.46,-1.22,-1.3,1.777,0.016,0.281,0.691333333,-1.8359999999999999,-0.094,-1.714,-1.214666667,17.96146967,-43.03682127,0.7387699240000001,-7.6247863670000005,0.283277249,1710.1
30,TA5894SW,CA42,5/3/05,5/10/05,5/6/05,-1.46,-1.46,-1.46,-1.46,0.016,1.288,0.779,0.694333333,-0.094,-1.6030000000000002,-0.281,-0.659333333,14.64489133,-58.46945667,0.999750969,-9.139293499999999,0.267284493,2271.1
31,TB1047SW,CA42,9/13/05,9/21/05,9/17/05,0.34,0.34,0.34,0.34,1.88,1.535,1.777,1.730666667,0.809,0.444,1.6340000000000001,0.962333333,8.123297599999999,-24.94446213,1.019365979,-4.133469967,0.326975534,1080.2
32,TB2177SW,CA42,10/12/05,10/19/05,10/16/05,1.12,1.12,1.12,1.12,1.239,-0.04,-0.774,0.141666667,-0.16699999999999998,-1.9180000000000001,-1.5930000000000002,-1.226,18.37210313,-42.65291047,4.48235,-7.628126700000001,3.083348,4174.6
33,TB4006SW,CA42,12/6/05,12/13/05,12/10/05,0.01,0.01,0.01,0.01,0.499,0.584,0.728,0.603666667,-3.4539999999999997,-1.643,0.16,-1.645666667,-5.479701400000001,-114.9181702,1.38482526,-13.679808600000001,0.337265474,188.2001
34,TB4923SW,CA42,12/27/05,1/3/06,12/30/05,0.01,1.29,0.01,0.436666667,1.274,0.039,1.013,0.775333333,-2.8989999999999996,-0.8240000000000001,-2.182,-1.9683333330000001,17.49877453,-28.97841933,0.96897936,-5.809649232999999,0.316015822,6563.7
35,TB6915SW,CA42,2/14/06,2/22/06,2/18/06,-0.12,-0.12,-0.12,-0.12,0.647,-1.442,-0.7709999999999999,-0.522,0.884,1.6840000000000002,0.965,1.177666667,28.1893386,-42.704355799999995,4.48235,-8.8617118,3.083348,1317.2
36,TB7125SW,CA42,2/22/06,2/28/06,2/25/06,-0.12,-0.12,-0.12,-0.12,-1.442,-1.7209999999999999,-1.891,-1.684666667,1.6840000000000002,-2.029,-0.685,-0.34333333299999996,11.66089527,-86.25475967,0.940693893,-12.23945687,0.24132550600000002,8111.9
37,TB7199SW,CA42,2/28/06,3/6/06,3/3/06,-0.12,1.32,1.32,0.84,-1.7209999999999999,0.05,-0.693,-0.7879999999999999,-2.029,0.059000000000000004,-1.6669999999999998,-1.212333333,25.46587747,-27.45949587,1.156662008,-6.615671667000001,0.275021817,1205.5
38,TB7835SW,CA42,3/6/06,3/14/06,3/10/06,1.32,1.32,1.32,1.32,0.05,-0.677,-0.857,-0.494666667,0.059000000000000004,-2.013,0.111,-0.6143333329999999,24.80723313,-39.34433247,1.088723105,-8.0189457,0.166838245,2385.9
39,TB7833SW,CA42,3/14/06,3/21/06,3/17/06,1.32,1.32,1.32,1.32,-0.677,-0.107,-0.37,-0.384666667,-2.013,-3.822,-2.825,-2.886666667,20.06361227,-47.33475733,1.2446565790000002,-8.4247962,0.27111067899999997,4933.2
40,TB8200SW,CA42,3/21/06,3/29/06,3/25/06,1.32,1.32,1.32,1.32,-0.107,-0.052000000000000005,0.39,0.077,-3.822,-1.204,-1.955,-2.327,17.39854187,-48.99772773,1.1607880940000002,-8.2995337,0.282329595,4633.3
41,TB8674SW,CA42,3/29/06,4/4/06,4/1/06,1.32,1.17,1.17,1.22,-0.052000000000000005,0.05,0.083,0.027000000000000003,-1.204,-1.635,-1.276,-1.371666667,14.52100387,-40.19478813,0.940358974,-6.839474000000001,0.227521428,1813.4
42,TB8649SW,CA42,4/4/06,4/11/06,4/7/06,1.17,1.17,1.17,1.17,0.05,-0.087,0.6990000000000001,0.22066666699999998,-1.635,1.338,-2.378,-0.8916666670000001,20.0343128,-50.05235707,1.104366787,-8.760833733,0.340395358,6879.2
43,TB9027SW,CA42,4/11/06,4/18/06,4/14/06,1.17,1.17,1.17,1.17,-0.087,0.319,-0.529,-0.099,1.338,0.319,2.121,1.259333333,18.335542,-57.85725720000001,1.286329274,-9.524099900000001,0.39733613,3064.1
44,TB9287SW,CA42,4/18/06,4/26/06,4/22/06,1.17,1.17,1.17,1.17,0.319,-0.12,0.76,0.319666667,0.319,-0.063,1.187,0.48100000000000004,18.0000394,-24.2496286,0.9428711470000001,-5.2812085,0.310977491,440.6
45,TC0305SW,CA42,5/17/06,5/23/06,5/20/06,-0.96,-0.96,-0.96,-0.96,0.536,-0.877,-0.988,-0.44299999999999995,0.13,0.662,0.833,0.541666667,15.81657653,-66.38882267,0.8555471929999999,-10.2756749,0.43784015299999995,1393.4
46,TC2638SW,CA42,7/18/06,7/26/06,7/22/06,-0.9,-0.9,-0.9,-0.9,0.156,0.145,-0.51,-0.069666667,-0.26899999999999996,-0.17300000000000001,0.073,-0.12300000000000001,-12.7354296,-7.338582933,1.19536187,0.674605833,0.308209344,180.4
47,TC5928SW,CA42,10/10/06,10/17/06,10/13/06,-1.52,-1.52,-1.52,-1.52,0.48,-0.565,-0.121,-0.068666667,-1.5230000000000001,-3.1919999999999997,-0.713,-1.809333333,19.02171453,-19.1767972,0.83712723,-4.774813967,0.299347624,235.4
48,TC7546SW,CA42,11/21/06,11/28/06,11/24/06,0.05,0.05,0.05,0.05,-0.556,-0.59,-0.9790000000000001,-0.708333333,0.48700000000000004,0.684,-0.9390000000000001,0.077333333,19.66677667,-21.30020333,1.343361083,-5.1208725,0.39072880600000004,172.1
49,TC8514SW,CA42,12/5/06,12/13/06,12/9/06,-0.39,-0.39,-0.39,-0.39,1.058,0.67,1.422,1.05,1.284,3.497,1.972,2.251,20.1394062,-46.85277887,1.196597677,-8.374023133,0.329451059,991.0
50,TC8775SW,CA42,12/13/06,12/19/06,12/16/06,-0.39,-0.39,-0.39,-0.39,0.67,1.411,0.462,0.847666667,3.497,2.056,2.532,2.695,26.31686433,-17.03377753,1.886905668,-5.4188302329999996,0.269252669,1102.6
